id,name,mentions,source_books
E31384,高压真空断路器,1,
E31385,发电机通过真空断路器,1,
E31694,负载电流对交流同步发电机,1,
E31696,所以船舶交流同步发电机,1,
E31819,稳定发电机,1,
E31910,通常同步发电机,1,
E32165,采用两个单相变送器,1,
E32352,每一台柴油发电机,1,
E32446,型框架式空气断路器,1,
E32452,控制空气断路器,1,
E32525,都可以实现发电机断路器,1,
E32529,发电机断路器,1,
E32530,单元断开发电机断路器,1,
E32544,单元使得发电机断路器,1,
E32628,系统将断开发电机断路器,1,
E32757,这样可以保证各发电机,1,
E33036,串励磁场绕组,1,
E33037,磁场回路绕组,1,
E33039,调节激磁电流至额定值电刷,1,
E33056,电枢绕组之间电刷,1,
E33064,带有少量串励稳定绕组,1,
E33065,起动后又变为正转串励绕组,1,
E33066,互换串励绕组,1,
E33067,正常约为轴承,1,
E33072,笼型转子,1,
E33073,绕线型转子绕组,1,
E33079,加强减振措施电动机,1,
E33090,放正磨小电刷,1,
E33096,至励磁绕组,1,
E33274,检验配电板,1,
E33753,定子是电枢,1,
E33831,从系统对发电机,1,
E34070,须采用断路器,1,
E34118,主开关空气断路器,1,
E34391,拆开励磁绕组,1,
E34409,核对电压表用主配电板,1,
E34460,启动两台发电机,1,
E35086,拖动液压泵,1,
E35210,主油路换向阀,1,
E35258,输出使电动机,1,
E35259,输出启动电动机,1,
E35506,清洁空压机,1,
E35514,校核安全阀,1,
E35536,空压机电机绕组,1,
E35887,遇险信息控制器,1,
E36310,延时开关,1,
E36312,压差开关,1,
E36697,用万用表检测点火变压器,1,
E36707,检测时序控制器,1,
E36711,用短接线短接压力继电器,1,
